blc attack bugs order L0 Chlin0 tou0 dL endL dChlin endChlin dtou endtou damage
3 2 PP PP NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 AP PA NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 PH PH NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 HH HH NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 AH HA NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 PH HP NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
4 0 na na 176 9.5375 125 11 187 5.97916666666667 15.5166666666667 20 145 NaN
4 1 A na 180 11.5444444444444 98.3333333333333 39 219 2.06805555555556 13.6125 16.6666666666667 115 NaN
4 1 A na 208 11.97 158.333333333333 8 216 0.25 12.22 -45 113.333333333333 NaN
4 1 A na 214 11.5 178.333333333333 30 244 1.86666666666667 13.3666666666667 -33.3333333333333 145 NaN
4 1 P na 222 8.55 90 44 266 6.38333333333333 14.9333333333333 41.6666666666667 131.666666666667 41
4 1 P na 148 12.9714285714286 130 13 161 -1.06031746031746 11.9111111111111 -8.33333333333333 121.666666666667 25
4 1 P na 177 10.2714285714286 130 0 177 1.54857142857143 11.82 21.6666666666667 151.666666666667 30
4 1 H na 194 9.375 141.666666666667 2 196 3.635 13.01 25 166.666666666667 47
4 1 H na 168 10.5625 125 40 208 2.4125 12.975 40 165 78
4 1 H na 82 11.6333333333333 163.333333333333 16 98 1.53333333333334 13.1666666666667 -50 113.333333333333 28
4 2 AA sim 138 10.1625 101.666666666667 34 172 4.1175 14.28 11.6666666666667 113.333333333333 NaN
4 2 AP sim 110 8.7625 136.666666666667 10 120 4.1975 12.96 -5 131.666666666667 28
4 2 AH sim 196 9.52222222222222 98.3333333333333 -3 193 3.71527777777778 13.2375 33.3333333333333 131.666666666667 53
4 2 PP sim 128 12.6777777777778 186.666666666667 26 154 1.57777777777777 14.2555555555556 -40 146.666666666667 52
4 2 PH sim 244 9.23 111.666666666667 8 252 5.87 15.1 0 111.666666666667 73
4 2 HH sim 228 11.58 96.6666666666667 21 249 2.63428571428571 14.2142857142857 25 121.666666666667 99
4 2 AA AA 180 11.5444444444444 98.3333333333333 99 279 0.977777777777778 12.5222222222222 -16.6666666666667 81.6666666666667 NaN
4 2 AP AP 208 11.97 158.333333333333 41 249 -0.929999999999998 11.04 -33.3333333333333 125 20
4 2 AH AH 214 11.5 178.333333333333 46 260 0.666666666666666 12.1666666666667 -72 106.333333333333 77
4 2 PP PP 222 8.55 90 8 230 5.29 13.84 1.66666666666667 91.6666666666667 67
4 2 AP PA 148 12.9714285714286 130 24 172 -2.14285714285714 10.8285714285714 -6.66666666666667 123.333333333333 NaN
4 2 PH PH 177 10.2714285714286 130 25 202 -0.0825396825396822 10.1888888888889 -1.66666666666666 128.333333333333 58
4 2 HH HH 194 9.375 141.666666666667 3 197 2.35833333333333 11.7333333333333 -13.3333333333333 128.333333333333 102
4 2 AH HA 168 10.5625 125 -5 163 2.6375 13.2 -5 120 NaN
4 2 PH HP 82 11.6333333333333 163.333333333333 89 171 2.17777777777778 13.8111111111111 -38.3333333333333 125 30
5 0 na na 212 10.9571428571429 98.3333333333333 40 252 1.5984126984127 12.5555555555556 15 113.333333333333 NaN
5 1 A na 178 14.23 111.666666666667 51 229 1.60333333333333 15.8333333333333 13.3333333333333 125 NaN
5 1 A na 290 12 115 41 331 0.471428571428572 12.4714285714286 13.3333333333333 128.333333333333 NaN
5 1 A na 230 11.9555555555556 151.666666666667 32 262 1.16444444444444 13.12 -21.6666666666667 130 NaN
5 1 P na 215 12.55 145 -12 203 -0.138888888888889 12.4111111111111 -18.3333333333333 126.666666666667 43
5 1 P na 147 13.5666666666667 121.666666666667 15 162 1.70333333333333 15.27 -8.33333333333334 113.333333333333 29
5 1 P na 184 12.12 115 62 246 2.26888888888889 14.3888888888889 10 125 27
5 1 H na 176 12.9111111111111 123.333333333333 34 210 -0.301111111111114 12.61 0 123.333333333333 58
5 1 H na 197 10.0444444444444 156.666666666667 18 215 0.285555555555556 10.33 -26.6666666666667 130 66
5 1 H na 125 13.96 143.333333333333 19 144 1.1525 15.1125 -10 133.333333333333 71
5 2 AA sim 106 11.0888888888889 126.666666666667 33 139 2.01111111111111 13.1 -8.33333333333334 118.333333333333 NaN
5 2 AP sim 190 13.6 120 -50 140 0.766666666666668 14.3666666666667 -3.33333333333333 116.666666666667 31
5 2 AH sim 214 13.1444444444444 125 25 239 0.326984126984128 13.4714285714286 -10 115 53
5 2 PP sim 129 14.3777777777778 158.333333333333 129 258 2.36222222222223 16.74 -33.3333333333333 125 85
5 2 PH sim 172 11.5 148.333333333333 132 304 0.97777777777778 12.4777777777778 -28.3333333333333 120 117
5 2 HH sim 249 14.0888888888889 133.333333333333 16 265 2.41111111111111 16.5 -33.3333333333333 100 124
5 2 AA AA 178 14.23 111.666666666667 40 218 0.8825 15.1125 13.3333333333333 125 NaN
5 2 AP AP 290 12 115 -30 260 0.73 12.73 16.6666666666667 131.666666666667 43
5 2 AH AH 230 11.9555555555556 151.666666666667 5 235 -0.530555555555557 11.425 -40 111.666666666667 107
5 2 PP PP 215 12.55 145 77 292 1.12 13.67 -30 115 104
5 2 AP PA 147 13.5666666666667 121.666666666667 20 167 1.58888888888889 15.1555555555556 3.33333333333333 125 NaN
5 2 PH PH 184 12.12 115 106 290 0.00499999999999901 12.125 11.6666666666667 126.666666666667 107
5 2 HH HH 176 12.9111111111111 123.333333333333 68 244 -1.58888888888889 11.3222222222222 0 123.333333333333 143
5 2 AH HA 197 10.0444444444444 156.666666666667 46 243 0.426984126984127 10.4714285714286 -25 131.666666666667 NaN
5 2 PH HP 125 13.96 143.333333333333 101 226 0.799999999999997 14.76 -23.3333333333333 120 48
6 0 na na 144 12.7 88.3333333333333 15 159 1.72222222222222 14.4222222222222 -8.33333333333333 80 NaN
6 1 A na 212 8.84444444444444 131.666666666667 66 278 3.76555555555556 12.61 -35 96.6666666666667 NaN
6 1 A na 135 10.3777777777778 68.3333333333333 64 199 2.69222222222222 13.07 -20 48.3333333333333 NaN
6 1 A na 148 9.5 83.3333333333333 75 223 0.830000000000002 10.33 -3.33333333333333 80 NaN
6 1 P na 281 7.6 121.666666666667 73 354 1.3125 8.9125 23.3333333333333 145 54
6 1 P na 246 9.26 76.6666666666667 57 303 1.50666666666667 10.7666666666667 13.3333333333333 90 28
6 1 P na 98 10.1111111111111 110 14 112 1.42638888888889 11.5375 -5 105 45
6 1 H na 134 9.8625 123.333333333333 8 142 0.967499999999999 10.83 -33.3333333333333 90 90
6 1 H na 176 9.12222222222222 133.333333333333 -8 168 5.14027777777778 14.2625 -35 98.3333333333333 83
6 1 H na 140 9.03333333333333 133.333333333333 54 194 3.83333333333333 12.8666666666667 -35 98.3333333333333 91
6 2 AA sim 104 8.91111111111111 66.6666666666667 56 160 2.74888888888889 11.66 -3.33333333333334 63.3333333333333 NaN
6 2 AP sim 184 7.85555555555556 86.6666666666667 44 228 4.71587301587302 12.5714285714286 13.3333333333333 100 47
6 2 AH sim 145 11.9666666666667 66.6666666666667 17 162 1.08888888888889 13.0555555555556 36.6666666666667 103.333333333333 108
6 2 PP sim 114 10.9428571428571 93.3333333333333 42 156 1.26825396825397 12.2111111111111 11.6666666666667 105 55
6 2 PH sim 218 9.39 120 -6 212 -0.852499999999999 8.5375 5 125 121
6 2 HH sim 162 10.525 76.6666666666667 16 178 -0.796428571428571 9.72857142857143 40 116.666666666667 159
6 2 AA AA 212 8.84444444444444 131.666666666667 118 330 4.24555555555555 13.09 -26.6666666666667 105 NaN
6 2 AP AP 135 10.3777777777778 68.3333333333333 81 216 3.61222222222222 13.99 30 98.3333333333333 98
6 2 AH AH 148 9.5 83.3333333333333 94 242 1.05 10.55 8.33333333333334 91.6666666666667 148
6 2 PP PP 281 7.6 121.666666666667 111 392 1.925 9.525 21.6666666666667 143.333333333333 123
6 2 AP PA 246 9.26 76.6666666666667 117 363 3.24 12.5 28.3333333333333 105 NaN
6 2 PH PH 98 10.1111111111111 110 37 135 2.10138888888889 12.2125 10 120 83
6 2 HH HH 134 9.8625 123.333333333333 10 144 NaN NaN -10.8333333333333 112.5 144
6 2 AH HA 176 9.12222222222222 133.333333333333 36 212 4.64777777777778 13.77 -6.66666666666667 126.666666666667 NaN
6 2 PH HP 140 9.03333333333333 133.333333333333 84 224 5.27777777777778 14.3111111111111 3.33333333333331 136.666666666667 35
